nursery_site,species,date,batch_id,volume,calliper300,rcd,height_m,sizeindex,logSI,logvol,logH,logD,logRCD,climate_region,genus_species,variety,origin,leaf_type,slenderness,MAT,MAP
A,angophora_costata,11/4/2016,AC_27,27,16.69,24.835,1.493,24.91817,1.396516144,1.431363764,0.174059808,1.222456337,1.395064164,South Australia,angophora_costata,NA,native,evergreen,0.089454763,15.39166667,698
A,ginkgo_biloba,11/4/2016,GB_27,27,22.86,35.87,2.3,52.578,1.720804062,1.431363764,0.361727836,1.359076226,1.554731377,South Australia,ginkgo_biloba,NA,non-native,deciduous,0.100612423,15.39166667,698
A,callistemon_kingsparkspecial,11/4/2016,ck_27,27,19.02,20.075,1.5,28.53,1.455301772,1.431363764,0.176091259,1.279210513,1.302655554,South Australia,callistemon_kingsparkspecial,NA,native,evergreen,0.078864353,15.39166667,698
A,eucalyptus_leucoxylon_rosea,11/4/2016,ELR_18,18,10.98,17.645,0.994,10.91412,1.037988725,1.255272505,-0.002613616,1.04060234,1.246621663,South Australia,eucalyptus_leucoxylon,rosea,native,evergreen,0.090528233,15.39166667,698
A,ulmus_parvifolia_todd,11/4/2016,UMT_27,27,27.345,34.645,2.453,67.077285,1.826575476,1.431363764,0.389697548,1.436877928,1.539640566,South Australia,ulmus_parvifolia,todd,non-native,deciduous,0.089705613,15.39166667,698
A,eucalyptus_leucoxylon_megalocarpa,11/4/2016,ELM_18,18,17.555,21.455,1.099,19.292945,1.285398526,1.255272505,0.040997692,1.244400834,1.331528519,South Australia,eucalyptus_leucoxylon,megalocarpa,native,evergreen,0.062603247,15.39166667,698
A,angophora_costata,11/4/2016,AC_27,27,18.585,25.225,1.474,27.39429,1.437660049,1.431363764,0.168497484,1.269162565,1.401831175,South Australia,angophora_costata,NA,native,evergreen,0.079311273,15.39166667,698
A,corymbia_maculata,11/4/2016,CM_27,27,16.025,21.885,1.94,31.0885,1.492599768,1.431363764,0.28780173,1.204798038,1.340146551,South Australia,corymbia_maculata,NA,native,evergreen,0.121060842,15.39166667,698
A,ginkgo_biloba,11/4/2016,GB_27,27,23.1,32.29,2.084,48.1404,1.682509695,1.431363764,0.318897715,1.36361198,1.509068045,South Australia,ginkgo_biloba,NA,non-native,deciduous,0.09021645,15.39166667,698
A,ulmus_parvifolia_todd,11/4/2016,UMT_27,27,21.71,28.535,2.333,50.64943,1.704574562,1.431363764,0.367914739,1.336659823,1.455377877,South Australia,ulmus_parvifolia,todd,non-native,deciduous,0.107461999,15.39166667,698
A,ulmus_parvifolia_todd,11/4/2016,UMT_27,27,24.215,31.745,2.237,54.168955,1.733750457,1.431363764,0.349665984,1.384084473,1.501675331,South Australia,ulmus_parvifolia,todd,non-native,deciduous,0.092380756,15.39166667,698
A,ginkgo_biloba,11/4/2016,GB_27,27,24.61,33.2,2.196,54.04356,1.732743949,1.431363764,0.341632336,1.391111614,1.521138084,South Australia,ginkgo_biloba,NA,non-native,deciduous,0.08923202,15.39166667,698
A,angophora_costata,11/4/2016,AC_27,27,18.255,21.005,1.313,23.968815,1.379646563,1.431363764,0.118264726,1.261381837,1.322322686,South Australia,angophora_costata,NA,native,evergreen,0.0719255,15.39166667,698
A,agonis_flexuosa,11/4/2016,AF_18,18,14.965,19.355,1.765,26.413225,1.421821431,1.255272505,0.24674471,1.175076721,1.286793176,South Australia,agonis_flexuosa,NA,native,evergreen,0.117941864,15.39166667,698
A,eucalyptus_leucoxylon_rosea,11/4/2016,ELR_18,18,12.83,17.665,1.254,16.08882,1.206524193,1.255272505,0.098297536,1.108226656,1.247113642,South Australia,eucalyptus_leucoxylon,rosea,native,evergreen,0.097739673,15.39166667,698
A,callistemon_kingsparkspecial,11/4/2016,ck_18,18,11.495,21.415,0.997,11.460515,1.059204134,1.255272505,-0.001304842,1.060508976,1.330718079,South Australia,callistemon_kingsparkspecial,NA,native,evergreen,0.086733362,15.39166667,698
A,angophora_costata,11/4/2016,AC_27,27,19.105,27.21,1.246,23.80483,1.376665084,1.431363764,0.095518042,1.281147042,1.434728542,South Australia,angophora_costata,NA,native,evergreen,0.065218529,15.39166667,698
A,eucalyptus_leucoxylon_megalocarpa,11/4/2016,ELM_18,18,18.45,23.705,1.553,28.65285,1.457167826,1.255272505,0.191171456,1.26599637,1.37483996,South Australia,eucalyptus_leucoxylon,megalocarpa,native,evergreen,0.084173442,15.39166667,698
A,magnolia_grandiflora,11/4/2016,MGL_18,18,13.105,16.42,1.021,13.380205,1.126462767,1.255272505,0.009025742,1.117437025,1.215373153,South Australia,magnolia_grandiflora,NA,non-native,evergreen,0.077909195,15.39166667,698
A,callistemon_kingsparkspecial,11/4/2016,ck_18,18,11.595,19.57,1,11.595,1.064270753,1.255272505,0,1.064270753,1.291590826,South Australia,callistemon_kingsparkspecial,NA,native,evergreen,0.086244071,15.39166667,698
A,callistemon_kingsparkspecial,11/4/2016,ck_27,27,21.485,23.12,1.621,34.827185,1.541918373,1.431363764,0.209783015,1.332135358,1.36398783,South Australia,callistemon_kingsparkspecial,NA,native,evergreen,0.075447987,15.39166667,698
A,eucalyptus_leucoxylon_rosea,11/4/2016,ELR_18,18,12.53,16.89,1.346,16.86538,1.226996131,1.255272505,0.12904506,1.097951071,1.22762965,South Australia,eucalyptus_leucoxylon,rosea,native,evergreen,0.107422187,15.39166667,698
