nursery_site,species,genus_species,volume,climate_region,origin,leaf_type,calliper300.mean,rcd.mean,height_m.mean,sizeindex.mean,calliper300.se,rcd.se,height_m.se,sizeindex.se,MAT,MAP
D,waterhousea_floribunda_greenavenue,waterhousea_floribunda,75,New South Wales,native,evergreen,30.0195,37.90625,2.9024,87.929042,0.870053832,0.8790575,0.067849345,4.32636156,16.83333333,846
D,corymbia_citriodora,corymbia_citriodora,14,New South Wales,native,evergreen,10.41577778,15.99444444,1.567711111,16.50553911,0.215149229,0.284628822,0.024876374,0.559476492,16.83333333,846
D,jacaranda_mimosifolia,jacaranda_mimosifolia,100,New South Wales,non-native,deciduous,39.6455,51.1235,3.37235,133.9105655,0.527122514,1.096326768,0.063875342,3.463611771,16.83333333,846
D,pyrus_calleryana_chanticleer,pyrus_calleryana,400,New South Wales,non-native,deciduous,72.92,89.07675,4.4146,321.9822163,0.828214154,1.182537096,0.045975073,5.229125295,16.83333333,846
D,jacaranda_mimosifolia,jacaranda_mimosifolia,75,New South Wales,non-native,deciduous,35.46325,47.188,2.85165,101.496974,0.759080492,1.189453789,0.051115261,3.37976945,16.83333333,846
D,ulmus_parvifolia_todd,ulmus_parvifolia,75,New South Wales,non-native,deciduous,28.3655,39.78425,2.51135,71.2584235,0.465434418,0.789793717,0.041355664,1.713904256,16.83333333,846
D,platanus_acerifolia,platanus_acerifolia,200,New South Wales,non-native,deciduous,51.90125,62.03325,3.97155,205.8323335,0.494749654,0.827042549,0.116495595,5.603430012,16.83333333,846
E,olea_europaea_tolleysupright,olea_europaea,200,Western Australia,non-native,evergreen,59.01833333,71.0675,2.492833333,147.0261692,2.886614126,2.500227906,0.063525542,7.983346293,18.45833333,760
E,jacaranda_mimosifolia,jacaranda_mimosifolia,100,Western Australia,non-native,deciduous,50.92884615,61.70153846,3.033615385,156.6582796,2.592524643,3.032359208,0.221982026,16.20947849,18.45833333,760
E,olea_europaea_tolleysupright,olea_europaea,100,Western Australia,non-native,evergreen,38.5685,52.34375,2.02665,78.1443325,0.963755203,1.067173707,0.052611249,2.808114776,18.45833333,760
E,angophora_costata,angophora_costata,100,Western Australia,native,evergreen,48.55975,52.9645,2.94485,143.7310298,1.538316128,1.700306315,0.07475276,6.682926647,18.45833333,760
E,waterhousea_floribunda,waterhousea_floribunda,35,Western Australia,native,evergreen,22.84076923,31.51038462,1.412384615,32.56866346,1.108318611,1.211327475,0.062150823,2.469912695,18.45833333,760
